row_id,boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,rank_overall,owned,wishlisted,total_plays,fans,page_views,std_deviation,comments,monthly_plays,previously_owned,for_trade,want_trade,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,categories,mechanics,families,designers,artists,publishers,solo_designers,developers,graphic_designers,sculptors,editors,writers,insert_designers,rank_strategy,rank_thematic,rank_family,rank_war,rank_customizable,rank_abstract,rank_party,description,amazon_price_usd,bgg_store_price_usd,boardgamebliss_price_cad,boardgamebliss_price_usd,boardtopia_price_usd,cardhaus_games_price_usd,cloak_&_gamer_price_usd,collector_store_llc_price_usd,dryad_games_price_usd,ebay_price_usd,elevated_board_games_price_usd,fowers_games_price_usd,game_summon_price_gbp,game_summon_price_usd,gamers_guild_az_price_usd,hachette_boardgames_usa_price_usd,k&b_hobbies_and_games_price_cad,k&b_hobbies_and_games_price_usd,link_to_game,miniature_market_price_usd,noble_knight_games_price_usd,philibert_price_eur,philibert_price_usd,ranks_children's,renegade_game_studios_price_usd,spiele-offensive.de_price_eur,spiele-offensive.de_price_usd,stonemaier_games_price_usd,suggested_retail_price_usd,usedgames.ca_price_cad,usedgames.ca_price_usd,wellplayed_price_chf,wellplayed_price_usd,zatu_games_price_gbp,zatu_games_price_usd,zulu's_board_game_cafe_price_usd
1,Brass: Birmingham,2018,2,4,60.0,120.0,14.0,8.575,53548,3.87,1,76201,20334,152594,6726,5555379,1.42,7358,1208,3420,278,1758,361,147,246,310,628,1700,4500,12000,18000,15000,Age of Reason;Economic;Industry / Manufacturing;Post-Napoleonic;Trains;Transportation,Chaining;End Game Bonuses;Hand Management;Income;Loans;Market;Multi-Use Cards;Network and Route Building;Ownership;Tags;Tech Trees / Tech Tracks;Tile Placement;Turn Order: Stat-Based;Variable Set-up,Cities: Birmingham (England);Components: Map (Regional scale);Components: Multi-Use Cards;Country: England;Country: United Kingdom;Crowdfunding: Kickstarter;Crowdfunding: Spieleschmiede;Digital Implementations: Steam;Digital Implementations: Tabletopia;Digital Implementations: VASSAL;Food & Drink: Beer;Game: Brass;History: Industrial Revolution;Misc: LongPack Games;Misc: Watch It Played How To Videos;Occupation: Engineer;Organizations: The Game Artisans of Canada;Theme: Canals,Gavan Brown;Matt Tolman;Martin Wallace,Gavan Brown;Lina Cossette;David Forest;Gui Landgraf;Damien Mammoliti;Matt Tolman,Roxley;Arclight Games;Board Game Rookie;BoardM Factory;CMON Global Limited;Conclave Editora;CoolPlay;CrowD Games;Dexker Games;Funforge;Gém Klub Kft.;Ghenos Games;Giant Roc;Lanlalen;Lord of Boards;Maldito Games;PHALANX;Rebel Sp. z o.o.;TLAMA games;White Goblin Games;盒拍工作室 Hepa Studio,,,,,,,,1,,,,,,,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",69.95,,135.0,97.15,,,,,,13.81,,,,,,,,,https://boardgamegeek.com/boardgame/224517/brass-birmingham,,,62.95,73.15,,,,,,79.99,,,,,68.99,92.66,
2,Pandemic Legacy: Season 1,2015,2,4,60.0,60.0,13.0,8.512,56071,2.83,2,87378,14478,301410,4221,4592660,1.6,8384,387,12927,509,799,597,265,369,414,880,2200,5000,11000,18000,17000,Environmental;Medical,Action Points;Cooperative Game;Hand Management;Legacy Game;Multi-Use Cards;Point to Point Movement;Scenario / Mission / Campaign Game;Set Collection;Tags;Trading;Variable Player Powers,Components: Map (Global Scale);Components: Multi-Use Cards;Game: Pandemic;Mechanism: Campaign Games;Mechanism: Legacy;Medical: Diseases;Misc: Limited Replayability;Misc: Made by Panda;Occupation: Dispatcher;Occupation: Medic / Doctor / Nurses;Occupation: Researcher / Scientist;Region: The World;Theme: Science;Versions & Editions: Legacy Versions of Non-Legacy Games,Rob Daviau;Matt Leacock,Chris Quilliams,Z-Man Games;Asterion Press;Devir;Filosofia Éditions;Gém Klub Kft.;Hobby Japan;Jolly Thinkers;Korea Boardgames;Lacerta;Lifestyle Boardgames Ltd;MINDOK;Ігромаг,,,,,,,,3,1,,,,,,Mutating diseases are spreading around the world - can your team save humanity?,76.97,,,,,71.99,,,,13.56,,,,,,,,,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,71.99,72.0,,,,,,,,89.99,,,,,,,
3,Ark Nova,2021,1,4,90.0,150.0,14.0,8.539,54528,3.79,3,79476,16121,528979,7465,6113759,1.39,7213,7019,3234,415,1073,190,120,307,376,783,2000,5000,12000,19000,15000,Animals;Card Game;Economic;Environmental,Contracts;End Game Bonuses;Events;Grid Coverage;Hand Management;Hexagon Grid;Income;Increase Value of Unchosen Resources;Open Drafting;Race;Set Collection;Solo / Solitaire Game;Tags;Tile Placement;Track Movement;Variable Player Powers;Variable Set-up,"Animals: Okapi;Components: Hexagonal Tiles;Continents: Africa;Continents: Asia;Continents: Europe;Continents: North America;Continents: South America;Country: Australia;Digital Implementations: Apple App Store;Digital Implementations: Board Game Arena;Digital Implementations: Google Play;Digital Implementations: Steam;Digital Implementations: TableTop Simulator Mod (TTS);Game: Ark Nova;Mechanism: Tableau Building;Players: Games with Solitaire Rules;Theme: Biology;Theme: Ecology;Theme: Science;Theme: Zoos, Aquaria, Safari Parks",Mathias Wigge,Steffen Bieker;Loïc Billiau;Dennis Lohausen;Christof Tisch,Feuerland Spiele;Capstone Games;CMON Global Limited;Cranio Creations;Game Harbor;Gém Klub Kft.;Grok Games;IGAMES;Korea Boardgames;Lautapelit.fi;Ludofy Creative;Maldito Games;MINDOK;MIPL;Portal Games;Regatul Jocurilor;Super Meeple;テンデイズゲームズ (TendaysGames);Tower Tactic Games;White Goblin Games,,,Steffen Bieker;Christof Tisch,,Frank Heeren;Inga Keutmann;Bastian Winkelhaus,,,2,,,,,,,"Plan and build a modern, scientifically managed zoo to support conservation projects.",71.81,,71.95,51.78,59.96,74.95,,,,24.51,,,,,,,84.99,61.16,https://boardgamegeek.com/boardgame/342942/ark-nova,,,62.9,73.09,,,,,,,,,,,48.95,65.74,74.99
4,Gloomhaven,2017,1,4,60.0,120.0,14.0,8.557,65443,3.92,4,101913,21597,542336,10780,13606453,1.74,11396,1206,8682,1210,1164,705,377,613,693,1400,3000,5500,11000,17000,25000,Adventure;Exploration;Fantasy;Fighting;Miniatures,Action Queue;Action Retrieval;Campaign / Battle Card Driven;Card Play Conflict Resolution;Communication Limits;Cooperative Game;Critical Hits and Failures;Deck Construction;Grid Movement;Hand Management;Hexagon Grid;Legacy Game;Line of Sight;Modular Board;Multi-Use Cards;Narrative Choice / Paragraph;Once-Per-Game Abilities;Role Playing;Scenario / Mission / Campaign Game;Simultaneous Action Selection;Solo / Solitaire Game;Storytelling;Tags;Variable Player Powers,Category: Dungeon Crawler;Components: Map (City Scale);Components: Miniatures;Components: Multi-Use Cards;Components: Standees;Creatures: Demons;Creatures: Dragons;Creatures: Monsters;Crowdfunding: Kickstarter;Digital Implementations: Steam;Digital Implementations: TableTop Simulator Mod (TTS);Game: Gloomhaven;Mechanism: Campaign Games;Mechanism: Legacy;Misc: Forteller Audio Narration;Misc: Made by Panda;Players: Games with Solitaire Rules,Isaac Childres,Alexandr Elichev;Josh T. McDowell;Alvaro Nebot,"Cephalofair Games;Albi;Albi Polska;Arclight Games;Feuerland Spiele;Galápagos Jogos;Games Warehouse;Gém Klub Kft.;Hobby World;Korea Boardgames;MYBG Co., Ltd.",,Marcel Dragomir,,,,,,4,2,,,,,,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,,,,,,,,,,4.98,,,,,,,,,https://boardgamegeek.com/boardgame/174430/gloomhaven,,175.0,159.9,185.81,,,,,,,,,,,,,
5,Twilight Imperium: Fourth Edition,2017,3,6,240.0,480.0,14.0,8.572,26686,4.34,5,32012,12449,49484,3546,4354588,1.64,3972,363,1738,212,1074,176,148,227,269,487,1200,2400,4700,7100,10000,Civilization;Economic;Exploration;Negotiation;Political;Science Fiction;Space Exploration;Territory Building;Wargame,Action Drafting;Area-Impulse;Dice Rolling;Follow;Grid Movement;Hexagon Grid;Increase Value of Unchosen Resources;King of the Hill;Modular Board;Movement Points;Race;Tech Trees / Tech Tracks;Trading;Variable Phase Order;Variable Player Powers;Variable Set-up;Voting,Components: Hexagonal Tiles;Components: Map (Interplanetary or Interstellar scale);Components: Miniatures;Game: Twilight Imperium;Mechanism: 4X;Misc: Made by Panda,Dane Beltrami;Corey Konieczka;Christian T. Petersen,Scott Schomburg,Fantasy Flight Games;ADC Blackfire Entertainment;Arclight Games;Asterion Press;Delta Vision Publishing;Edge Entertainment;Galakta;Galápagos Jogos;Geekach LLC;Hobby World;Playfun Games;sternenschimmermeer,,Dane Beltrami;Jason Walden,Shaun Boyke,,,Adam Baker;Daniel Clark (I),,5,4,,,,,,"Build an intergalactic empire through trade, research, conquest and grand politics.",172.29,,,,,151.99,,,,1.98,151.99,,,,,,,,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,,151.99,146.95,170.76,,,,,,189.99,,,,,134.79,181.03,
6,Dune: Imperium,2020,1,4,60.0,120.0,14.0,8.418,53995,3.07,6,72571,14792,210763,6400,5483296,1.28,7075,1589,4236,492,1074,102,89,202,320,749,2000,5800,15000,19000,11000,Movies / TV / Radio theme;Novel-based;Political;Science Fiction,"Card Play Conflict Resolution;Deck, Bag, and Pool Building;Delayed Purchase;Force Commitment;Increase Value of Unchosen Resources;Multi-Use Cards;Open Drafting;Ownership;Race;Solo / Solitaire Game;Tags;Take That;Turn Order: Progressive;Variable Player Powers;Worker Placement",Books: Dune;Components: Meeples;Components: Multi-Use Cards;Digital Implementations: Dire Wolf Game Room;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Dune: Imperium;Misc: LongPack Games;Misc: Watch It Played How To Videos;Players: Games with Solitaire Rules,Paul Dennen,Clay Brooks;Brett Nienburg;Raul Ramos;Nate Storm,Dire Wolf;Arclight Games;Broadway Toys LTD;Galápagos Jogos;Geekach LLC;Lavka Games;Lucky Duck Games;MIPL;Reflexshop;REXhry;sternenschimmermeer;Tabletop KZ;YingDi (旅法师营地),,Paul Dennen,Brett Nienburg,,,,,7,,,,,,,"Influence, intrigue, and combat in the universe of Dune.",51.98,,74.99,53.97,55.0,55.0,,,,21.99,,,,,,,74.99,53.97,https://boardgamegeek.com/boardgame/316554/dune-imperium,55.0,35.0,54.5,63.33,,,,,,55.0,,,,,44.99,60.42,54.99
7,Terraforming Mars,2016,1,5,120.0,120.0,12.0,8.347,107994,3.27,7,151245,25730,740148,11977,9788944,1.43,15194,3635,8129,809,1890,314,248,627,1000,1900,5300,13000,27000,34000,25000,Civilization;Economic;Environmental;Industry / Manufacturing;Science Fiction;Space Exploration;Territory Building,Closed Drafting;Contracts;End Game Bonuses;Hand Management;Hexagon Grid;Income;Solo / Solitaire Game;Tags;Take That;Tile Placement;Turn Order: Progressive;Variable Player Powers;Variable Set-up,Category: Dized Tutorial;Components: Map (Global Scale);Digital Implementations: Board Game Arena;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Terraforming Mars;Mechanism: Tableau Building;Occupation: Engineer;Players: Games with Solitaire Rules;Series: Terraforming Mars;Setting: Future Timeline (Fryxgames);Space: Colonization / Extraterrestrial Colonisation;Space: Earth's Solar System;Space: Jupiter;Space: Mars;Theme: Science,Jacob Fryxelius,Isaac Fryxelius;Daniel Fryxelius,"FryxGames;Arclight Games;Brädspel.se;Fantasmagoria;Ghenos Games;Green Elephant Games;Intrafin Games;Kaissa Chess & Games;Kilogames;Korea Boardgames;Lautapelit.fi;Lavka Games;Lex Games;Maldito Games;MeepleBR;MINDOK;MIPL;MYBG Co., Ltd.;NeoTroy Games;Rebel Sp. z o.o.;Reflexshop;Schwerkraft-Verlag;Siam Board Games;Stronghold Games;SuperHeated Neurons;Surfin' Meeple China",,,Isaac Fryxelius,,,,,8,,,,,,,Compete with rival CEOs to make Mars habitable and build your corporate empire.,79.99,,79.95,57.54,54.99,58.39,,59.99,,4.0,,,,,,,84.99,61.16,https://boardgamegeek.com/boardgame/167791/terraforming-mars,,50.0,53.95,62.69,,,,,,,,,,,,,69.99
8,War of the Ring: Second Edition,2011,2,4,150.0,240.0,13.0,8.548,23752,4.22,8,39262,12412,42493,3419,4635190,1.48,4063,296,2581,281,1395,110,78,112,187,365,1000,2300,5000,6900,7600,Fantasy;Fighting;Novel-based;Territory Building;Wargame,Area Majority / Influence;Area Movement;Campaign / Battle Card Driven;Card Play Conflict Resolution;Dice Rolling;Events;Hand Management;Movement Points;Team-Based Game;Variable Player Powers;Variable Set-up,Authors: J.R.R. Tolkien;Category: Dized Tutorial;Components: Map (Continental / National scale);Components: Miniatures;Creatures: Monsters;Series: War of the Ring (Nexus/Ares Games);Theme: Medieval Fantasy,Roberto Di Meglio;Marco Maggi;Francesco Nepitello,John Howe;Fabio Maiorana,Ares Games;Angry Lion Games;Devir;GaGa Games;Galakta;Geekach LLC;Heidelberger Spieleverlag;Nuts! Publishing;Planplay;Red Glove;REXhry;Schwerkraft-Verlag;Sophisticated Games;Zhiyanjia,,,Fabio Maiorana,Bob Naismith,,,,,3,,1,,,,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,94.71,,,,,,,,,65.0,94.99,,,,,,,,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition,,85.0,80.9,94.51,,,,,,,,,,,,,
9,Star Wars: Rebellion,2016,2,4,180.0,240.0,14.0,8.418,34995,3.75,9,54891,14452,55353,3801,4950903,1.36,5244,208,3487,393,1475,123,67,159,211,513,1500,3800,9000,12000,8000,Civil War;Movies / TV / Radio theme;Science Fiction;Space Exploration;Wargame,"Area Majority / Influence;Area Movement;Card Play Conflict Resolution;Contracts;Delayed Purchase;Dice Rolling;Die Icon Resolution;Events;Hand Management;Hidden Movement;Income;Once-Per-Game Abilities;Tags;Take That;Team-Based Game;Variable Player Powers;Variable Set-up;Worker Placement, Different Worker Types",Components: Dice with Icons;Components: Map (Interplanetary or Interstellar scale);Components: Miniatures;Components: Standees;Creatures: Aliens / Extraterrestrials;Movies: Star Wars,Corey Konieczka,Matt Allsopp;David Ardila;Balaskas;Tiziano Baracchi;Ryan Barger;Jorge Barrero;Cassandre Bolan;Jon Bosco;Matt Bradbury;Adam Burn;Alexandre Dainche;Christina Davis;Anthony Devine;Allen Douglas;Jose Mikhail Elloso;Tony Foti;Michele Frigo;Mariusz Gandzel;Zach Graves;Richard Hanuschek;Andrew Johanson;Jeff Lee Johnson;Jason Juta;Adam Lane;Ignacio Bazán Lazcano;Ralph McQuarrie;Mark Molnar;Jake Murray;Ameen Naksewee;David Auden Nash;Mike Nash;Maciej Rebisz;Alexandru Sabo;Tony Shasteen;Stephen Somers;Matthew Starbuck;Nicholas Stohlman;Angela Sung;Darren Tan;Ryan Valle;Jose Vega;VIKO;Magali Villeneuve;Jacob Walker;Ben Zweifel,Fantasy Flight Games;ADC Blackfire Entertainment;Asterion Press;Delta Vision Publishing;Edge Entertainment;Galakta;Galápagos Jogos;Geekach LLC;Heidelberger Spieleverlag;Hobby World;Korea Boardgames,,Steven Kimball,David Ardila;Christopher Hosch;Samuel R. Shimota;Monica Skupa,Bexley Andrajack;Jason Beaudoin;Niklas Norman;Gary Storkamp,Adam Baker,,,,6,,,,,,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,109.99,,,,,,,,,2.75,,,,,,,,,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,,95.99,,,,,,,,119.99,,,,,81.95,110.06,
10,Dune: Imperium – Uprising,2023,1,6,60.0,120.0,13.0,8.707,13487,3.51,10,21384,6566,39729,2323,2044365,1.33,1789,1099,439,67,828,70,25,40,63,152,314,932,2800,4800,4300,Movies / TV / Radio theme;Novel-based;Science Fiction,"Automatic Resource Growth;Card Play Conflict Resolution;Contracts;Deck, Bag, and Pool Building;Delayed Purchase;Force Commitment;Increase Value of Unchosen Resources;Multi-Use Cards;Open Drafting;Solo / Solitaire Game;Team-Based Game;Turn Order: Progressive;Variable Player Powers;Worker Placement",Books: Dune;Game: Dune: Imperium;Misc: LongPack Games;Misc: Watch It Played How To Videos;Players: Games with Solitaire Rules,Paul Dennen,Clay Brooks;Derek Herring;Raul Ramos;Nate Storm,Dire Wolf;Arclight Games;Galápagos Jogos;Geekach LLC;Korea Boardgames;Lavka Games;Lucky Duck Games;Reflexshop;Regatul Jocurilor;REXhry;Tabletop KZ,,,,,,,,6,,,,,,,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",56.4,,79.99,57.56,60.0,60.0,,,,57.11,,,,,,,79.99,57.56,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising,60.0,60.0,62.9,73.09,,,,,,60.0,,,,,43.95,59.03,59.99
