Observation_ID,Common_Name,Scientific_Name,Family,Genus,Observed_Length_(m),Observed_Weight_(kg),Age_Class,Sex,Date_of_Observation,Country/Region,Habitat_Type,Conservation_Status,Observer_Name,Notes
1,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,1.9,62,Adult,Male,31-03-2018,Belize,Swamps,Least_Concern,Allison_Hill,Cause_bill_scientist_nation_opportunity.
2,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,4.09,334.5,Adult,Male,28-01-2015,Venezuela,Mangroves,Vulnerable,Brandon_Hall,Ago_current_practice_nation_determine_operation_speak_according.
3,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,1.08,118.2,Juvenile,Unknown,07-12-2010,Venezuela,Flooded_Savannas,Critically_Endangered,Melissa_Peterson,Democratic_shake_bill_here_grow_gas_enough_analysis_least_by_two.
4,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.42,90.4,Adult,Male,01-11-2019,Mexico,Rivers,Least_Concern,Edward_Fuller,Officer_relate_animal_direction_eye_bag_do.
5,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.75,269.4,Adult,Unknown,15-07-2019,India,Rivers,Vulnerable,Donald_Reid,Class_great_prove_reduce_raise_author_play_move_each_left_establish_understand_read_detail.
6,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,2.64,137.4,Adult,Male,08-06-2023,India,Reservoirs,Vulnerable,Randy_Brown,Source_husband_at_tree_note_responsibility_defense.
7,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.85,157.7,Subadult,Male,10-12-2010,Thailand,Slow_Rivers,Critically_Endangered,Dr._Marvin_Thomas_Jr.,Much_section_investment_on_gun_young_catch_management_sense_technology_check_civil_quite_others_his_other_life_edge.
8,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,0.35,4.7,Juvenile,Unknown,03-08-2008,Central_African_Republic,Forest_Swamps,Data_Deficient,Terri_Frazier,Race_Mr_environment_political_born_itself_law_west.
9,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,3.05,201.2,Adult,Male,16-04-2020,Sudan,Lakes,Least_Concern,Deborah_Mason,Medical_blood_personal_success_medical_current_hear_claim_well.
10,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,3.39,197.2,Adult,Male,21-05-2016,Mexico,Lagoons,Least_Concern,Tamara_George,Affect_upon_these_story_film_around_there_water_beat_magazine_attorney_set.
11,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.22,15.8,Adult,Male,08-06-2018,Liberia,Small_Streams,Vulnerable,Betty_Alvarez,Close_month_parent_who_up_sense_ready.
12,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,1.84,60.7,Adult,Male,19-10-2019,Belize,Lagoons,Least_Concern,Jennifer_Powers,Just_military_building_different_full_open_discover_detail.
13,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.63,121.3,Subadult,Unknown,16-02-2015,Cambodia,Slow_Rivers,Critically_Endangered,Mark_Perez,Teacher_audience_draw_protect_Democrat.
14,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.65,217.7,Adult,Male,07-07-2006,Mexico,Mangroves,Vulnerable,Timothy_Duncan,Drug_list_imagine_behind_probably_great_in_tell.
15,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.32,19.2,Adult,Female,14-06-2010,Côte_d'Ivoire,Small_Streams,Vulnerable,Matthew_Lucas,I_fund_technology_eat_couple_large.
16,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2,67.9,Adult,Unknown,18-03-2007,Mexico,Rivers,Least_Concern,Donald_Wright,Kitchen_technology_nearly_anything_yourself_structure_why.
17,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,1.98,61.5,Juvenile,Unknown,14-03-2007,Mexico,Lagoons,Least_Concern,Sarah_Martin,Loss_ten_total_clearly_able_hospital_unit_size_expect_recent_room_situation_product_main_couple_design_around.
18,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4.37,565,Adult,Female,13-10-2025,Sudan,Reservoirs,Least_Concern,Amy_Edwards,Once_me_system_church_whether_bag.
19,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,1.07,31.1,Juvenile,Unknown,28-02-2017,Indonesia,Estuarine_Systems,Data_Deficient,Kurt_Leonard,Identify_walk_now_often_always.
20,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,1.55,350.9,Juvenile,Male,26-12-2017,Philippines,Estuaries,Least_Concern,Matthew_Cunningham,Various_daughter_respond_draw_how_public_feel.
21,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.52,89.6,Subadult,Unknown,24-09-2011,Malaysia,Estuarine_Systems,Data_Deficient,Paul_Jones,Perform_none_beyond_Mrs_media_car_give_attention.
22,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4.65,759.8,Adult,Male,16-04-2013,Tanzania,Lakes,Least_Concern,Dustin_Kim,Region_particularly_would_pressure_account_stage_federal_professional_voice_care_break_blood_network_evening_painting_response.
23,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.77,36,Adult,Male,07-12-2010,Congo,Forest_Swamps,Data_Deficient,Mark_Baker,Economy_traditional_anything_plant_stop_analysis_four_capital_woman_claim_kind_relationship_night_born_war_real_chance.
24,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.44,107.9,Subadult,Male,27-01-2007,Cuba,Swamps,Critically_Endangered,Jacob_Tran,Camera_final_together_someone_team_together.
25,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.18,342.1,Juvenile,Male,28-03-2017,Kenya,Marshes,Least_Concern,David_Garcia,This_image_per_choice_upon_ten_wish_specific_thing_agent_say_forward_us_soon_ten_specific_environment_skin.
26,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,0.34,42.4,Hatchling,Unknown,23-04-2007,Cuba,Swamps,Critically_Endangered,Shane_Garrison,Current_truth_glass_star_the_development_process.
27,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.39,174.9,Adult,Female,20-07-2022,Pakistan,Rivers,Vulnerable,Donald_Jones,Go_meeting_quickly_such_former_agree_theory_end_oil.
28,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,3.94,367.9,Subadult,Male,21-10-2019,Venezuela,Flooded_Savannas,Critically_Endangered,Mrs._Linda_Reed,Job_worker_break_tonight_couple_and_job_mind_southern_rather_vote.
29,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,3.22,196.6,Adult,Unknown,05-06-2012,Cambodia,Slow_Rivers,Critically_Endangered,Christina_Reynolds,Perhaps_professional_by_tonight_medical_project_for_recent_never_court.
